Year,Total,Region
1954,3,A27
1955,16,A27
1964,2,A27
1965,3,A27
1971,2,A27
1976,4,A27
1978,1,A27
1979,3,A27
1980,5,A27
1981,10,A27
1982,15,A27
1983,3,A27
1984,7,A27
1986,3,A27
1987,3,A27
1988,4,A27
1989,5,A27
1990,10,A27
1991,5,A27
1992,15,A27
1993,14,A27
1994,16,A27
1995,15,A27
1996,7,A27
1997,6,A27
1998,8,A27
1999,8,A27
2000,7,A27
2001,2,A27
2002,5,A27
2003,6,A27
2004,4,A27
2005,2,A27
2007,5,A27
2008,4,A27
2009,8,A27
2010,3,A27
2011,3,A27
2012,7,A27
2013,6,A27
